city,destination,country
Danville,DAN,United States
Daparizo,DAE,India
Dar Es Salaam,DAR,Tanzania
Darchula,DAP,Nepal
Dargaville,DGR,New Zealand (Aotearoa)
Darjeeling,DAI,India
Darnley Island,NLF,Australia
Daru,DAU,Papua New Guinea
City name,Airport Code,Country name
Daru,DSL,Sierra Leone
Darwaz,DAZ,Afghanistan
Darwin,DRW,Australia
Darwin,XJG,Australia
Dashoguz,TAZ,Turkmenistan
Datadawai,DTD,Indonesia
Dathina,DAH,Yemen
Datong,DAT,China
Dauan Island,DAJ,Australia
Daugavpils,DGP,Latvia
Daugo,DGG,Papua New Guinea
Daup,DAF,Papua New Guinea
Dauphin,YDN,Canada
Davao,DVO,Philippines
Davenport,DVN,United States
Davenport Downs,DVP,Australia
City name,Airport Code,Country name
David,DAV,Panama
Davis Inlet,YDI,Canada
Dawadmi,DWD,Saudi Arabia
Dawe,TVY,Myanmar
Dawson City,YDA,Canada
Dawson Creek,YDQ,Canada
Daxian,DAX,China
Daydream Is,DDI,Australia
Dayong,DYG,China
Dayton,DAY,United States
Dayton,MGY,United States
Dayton,FFO,United States
Dayton,DWF,United States
Daytona Beach,DAB,United States
Dazu,DZU,China
De Ridder,DRI,United States
City name,Airport Code,Country name
Dean River,YRD,Canada
Dearborn,DEO,United States
Dease Lake,YDL,Canada
Death Valley,DTH,United States
Deauville,DOL,France
Debepare,DBP,Papua New Guinea
Debra Marcos,DBM,Ethiopia
Debra Tabor,DBT,Ethiopia
Debrecen,DEB,Hungary
Decatur,DCU,United States
Decatur,DEC,United States
Decatur,DCR,United States
Decatur Island,DTR,United States
Deception,YGY,Canada
Decimomannu,DCI,Italy
Decorah,DEH,United States
City name,Airport Code,Country name
Dedougou,DGU,Burkina Faso
Deep Bay,WDB,United States
Deer Lake,YDF,Canada
Deer Lake,YVZ,Canada
Deer Park,DPK,United States
Deering,DRG,United States
Defiance,DFI,United States
Degahbur,DGC,Ethiopia
Dehra Dun,DED,India
Deirezzor,DEZ,Syria
Del Rio,DRT,United States
Del Rio,DLF,United States
Delhi,DEL,India
Deline,YWJ,Canada
Delissaville,DLV,Australia
Delta,DTA,United States
City name,Airport Code,Country name
Delta Downs,DDN,Australia
Delta Junction,DJN,United States
Dembidollo,DEM,Ethiopia
Deming,DMN,United States
Den Helder,DHR,Netherlands
Denham,DNM,Australia
Deniliquin,DNQ,Australia
Denis Island,DEI,Seychelles
Denison,DNS,United States
Denizli,DNZ,Turkey
Denpasar Bali,DPS,Indonesia
Denver,APA,United States
Denver,BFK,United States
Denver,DEN,United States
Deparizo,DEP,India
Dera Ghazi Khan,DEA,Pakistan
City name,Airport Code,Country name
Dera Ismail Khan,DSK,Pakistan
Derby,DRB,Australia
Derim,DER,Papua New Guinea
Derna,DNF,Libya
Des Moines,DSM,United States
Desolation Sound,YDS,Canada
Desroches,DES,Seychelles
Dessau,ZSU,Germany
Dessie,DSE,Ethiopia
Destin,DSI,United States
Detroit,DET,United States
Detroit,DTW,United States
Detroit,YIP,United States
Detroit Lakes,DTL,United States
Deux Alpes,DXA,France
Deva,DVA,Romania
City name,Airport Code,Country name
Devils Lake,DVL,United States
Devonport,DPO,Australia
Dewsbury,ZEQ,United Kingdom
Dezful,DEF,Iran
Dhahran,DHA,Saudi Arabia
Dhaka,DAC,Bangladesh
Dhala,DHL,Yemen
Dhamar,DMR,Yemen
Dhanbad,DBD,India
Dhangarhi,DHI,Nepal
Dharamsala,DHM,India
Diamantina Lakes,DYM,Australia
Diamantino,DMT,Brazil
Dianopolis,DNO,Brazil
Diapaga,DIP,Burkina Faso
Diavik,DVK,Canada
City name,Airport Code,Country name
Dibaa,BYB,Oman
Dibrugarh,DIB,India
Dickinson,DIK,United States
Dickwella,DIW,Sri Lanka
Diebougou,XDE,Burkina Faso
Dien Bien Phu,DIN,Viet Nam
Dieppe,DPE,France
Digby,YDG,Canada
Dijon,DIJ,France
Dikson,DKS,Russian Federation
Dilasag,DSG,Philippines
Dili,DIL,Indonesia
Dillingham,DLG,United States
Dillon,DLN,United States
Dillon,DLL,United States
City name,Airport Code,Country name
Dillons Bay,DLY,Vanuatu
Dimapur,DMU,India
Dimbokro,DIM,Cote D'Ivoire (Ivory Coast)
Dinangat,DNU,Papua New Guinea
Dinard,DNR,France
Dinder,DNX,Sudan
Diomede Island,DIO,United States
Dios,DOS,Papua New Guinea
Dipolog,DPL,Philippines
Diqing,DIG,China
Dire Dawa,DIR,Ethiopia
Dirico,DRC,Angola
Dirranbandi,DRN,Australia
Disneyland Paris,DLP,France
Diu,DIU,India
Divinopolis,DIQ,Brazil
City name,Airport Code,Country name
Divo,DIV,Cote D'Ivoire (Ivory Coast)
Dixie,DXD,Australia
Diyarbakir,DIY,Turkey
Djambala,DJM,Congo
Djanet,DJG,Algeria
Djerba,DJE,Tunisia
Djibo,XDJ,Burkina Faso
Djibouti,JIB,Djibouti
Djoemoe,DOE,Suriname
Djougou,DJA,Benin
Djupivogur,DJU,Iceland
Dnepropetrovsk,DNK,Ukraine
Doany,DOA,Madagascar
Dobo,DOB,Indonesia
Doc Creek,YDX,Canada
Docker River,DKV,Australia
City name,Airport Code,Country name
Dodge City,DDC,United States
Dodoima,DDM,Papua New Guinea
Dodoma,DOD,Tanzania
Doha,DOH,Qatar
Doha,XOZ,Qatar
Doini,DOI,Papua New Guinea
Dolbeau,YDO,Canada
Dole,DLE,France
Dolomi,DLO,United States
Dolpa,DOP,Nepal
Dominica,DCF,Dominica
Dominica,DOM,Dominica
Doncaster,DSA,United Kingdom
Donegal,CFN,Ireland
Donetsk,DOK,Ukraine
Dongara,DOX,Australia
City name,Airport Code,Country name
Dongguan,DGM,China
Dongola,DOG,Sudan
Dongsheng,DSN,China
Dongying,DOY,China
Doomadgee,DMD,Australia
Doongan,DNG,Australia
Dora Bay,DOF,United States
Dorado,DDP,Puerto Rico
Dori,DOR,Burkina Faso
Dornoch,DOC,United Kingdom
Dorobisoro,DOO,Papua New Guinea
Dortmund,DTM,Germany
Dorunda Station,DRD,Australia
Dos Lagunas,DON,Guatemala
Dothan,DHN,United States
Douala,DLA,Cameroon
City name,Airport Code,Country name
Douglas,DUG,United States
Douglas,DGL,United States
Douglas,DGW,United States
Douglas,DGF,Unites States
Dourados,DOU,Brazil
Dover-Cheswold,DOV,United States
Downey,JDY,United States
Doylestown,DYL,United States
Drama,DRM,Greece
Drayton Valley,YDC,Canada
Dresden,DRS,Germany
Drietabbetje,DRJ,Suriname
Drift River,DRF,United States
Drumduff,DFP,Australia
Drummond,DRU,United States
Drummond Island,DRE,United States
City name,Airport Code,Country name
Dryden,YHD,Canada
Drysdale River,DRY,Australia
Dschang,DSC,Cameroon
Dubai,DXB,United Arab Emirates
Dubbo,DBO,Australia
Dublin,DBN,United States
Dublin,DUB,Ireland
Dublin,PSK,United States
Dubois,DBS,United States
Dubois,DUJ,United States
Dubrovnik,DBV,Croatia (Hrvatska)
Dubuque,DBQ,United States
Duck,DUF,United States
Dugong,DGK,Mozambique
Dugway,DPG,United States
Dukuduk,DUK,South Africa
City name,Airport Code,Country name
Dulkaninna,DLK,Australia
Duluth,DLH,United States
Duluth,LKI,United States
Dumaguete,DGT,Philippines
Dumai,DUM,Indonesia
Dumpu,DPU,Papua New Guinea
Dunbar,DNB,Australia
Duncan,DUC,United States
Duncan Town,DCT,Bahamas
Duncan/Quam,DUQ,Canada
Dundas,DUN,Greenland
Dundee,DND,United Kingdom
Dundee,ZDU,United Kingdom
Dundo,DUE,Angola
Dunedin,DUD,New Zealand
Dunhuang,DNH,China
City name,Airport Code,Country name
Dunk Island,DKI,Australia
Dunkirk,DKK,United States
Durango,AMK,United States
Durango,DRO,United States
Durango,DGO,Mexico
Durant,DUA,United States
Durazno,DZO,Uruguay
Durban,DUR,South Africa
Durban,VIR,South Africa
Durham Downs,DHD,Australia
Durham Tees Valley,MME,United Kingdom
Durrie,DRR,Australia
Dushanbe,DYU,Tajikistan
Dusseldorf,DUS,Germany
Dusseldorf,MGL,Germany
Dusseldorf,NRN,Germany
City name,Airport Code,Country name
Dusseldorf,QDU,Germany
Dutch Harbor,DUT,United States
Dwangwa,DWA,Malawi
Dysart,DYA,Australia
Dzaoudzi,DZA,Comoros
Eagle,EAA,United States
Eagle Lake,ELA,United States
Eagle Pass,EGP,United States
Eagle River,EGV,United States
Earlton,YXR,Canada
East Fork,EFO,United States
East Hampton,HTO,United States
East Hartford,EHT,United States
East London,ELS,South Africa
East Main,ZEM,Canada
East Stroudsburg,ESP,United States
City name,Airport Code,Country name
East Tawas,ECA,United States
Easter Island,IPC,Chile
Eastland,ETN,United States
Easton,ESN,United States
Easton,ESW,United States
Eastsound,ESD,United States
Eau Claire,EAU,United States
Ebadon,EBN,Marshall Islands
Ebolowa,EBW,Cameroon
Ebon,EBO,Marshall Islands
Echuca,ECH,Australia
Eday,EOI,United Kingdom
Edenton,EDE,United States
Edgewood,EDG,United States
Edinburgh,EDI,United Kingdom
Edinburgh,ZXE,United Kingdom
City name,Airport Code,Country name
Edmonton,YEG,Canada
Edmonton,YXD,Canada
Edmonton,YED,Canada
Edna Bay,EDA,United States
Edremit/Korfez,EDO,Turkey
Edson,YET,Canada
Edward River,EDR,Australia
Edwards AFB,EDW,United States
Eek,EEK,United States
Efogi,EFG,Papua New Guinea
Egegik,EGX,United States
Egilsstadir,EGS,Iceland
Eia,EIA,Papua New Guinea
Eight Fathom Bight,EFB,United States
Eil,HCM,Somalia
Ein Yahav,EIY,Israel
City name,Airport Code,Country name
Einasleigh,EIH,Australia
Eindhoven,EIN,Netherlands
Eirunepe,ERN,Brazil
Eisenach,EIB,Germany
Ekaterinburg,SVX,Russian Federation
Ekati,YOA,Canada
Ekereku,EKE,Guyana
Ekibastuz,EKB,Kazakhstan
Ekuk,KKU,United States
Ekwok,KEK,United States
El Bagre,EBG,Colombia
El Banco,ELB,Colombia
El Bolson,EHL,Argentina
El Borma,EBM,Tunisia
El Cajon,CJN,United States
El Calafate,FTE,Argentina
City name,Airport Code,Country name
El Centro,NJK,United States
El Charco,ECR,Colombia
El Dorado,ELD,United States
El Dorado,EDK,United States
El Dorado,EOR,Venezuela
El Encanto,ECO,Colombia
El Fasher,ELF,Sudan
El Golea,ELG,Algeria
El Gouera,ZLG,Mauritania
El Maiten,EMX,Argentina
El Minya,EMY,Egypt
El Monte,EMT,United States
El Naranjo,ENJ,Guatemala
El Nido,ENI,Philippines
El Obeid,EBD,Sudan
El Oued,ELU,Algeria
City name,Airport Code,Country name
El Palomar,EPA,Argentina
El Paso,BIF,United States
El Paso,ELP,United States
El Portillo/samana,EPS,Dominican Republic
El Porvenir,PVE,Panama
El Real,ELE,Panama
El Recreo,ELJ,Colombia
El Salvador,ESR,Chile
El Tigre,ELX,Venezuela
El Vigia,VIG,Venezuela
El Yopal,EYP,Colombia
Elat,ETH,Israel
Elazig,EZS,Turkey
Elba Island,EBA,Italy
Elcho Island,ELC,Australia
Eldebba,EDB,Sudan
City name,Airport Code,Country name
Eldorado,ELO,Argentina
Eldoret,EDL,Kenya
Eldred Rock,ERO,United States
Elelim,ELR,Indonesia
Elfin Cove,ELV,United States
Elim,ELI,United States
Eliptamin,EPT,Papua New Guinea
Elista,ESL,Russian Federation
Eliye Springs,EYS,Kenya
Elizabeth City,ECG,United States
Elizabethtown,EKX,United States
Elk City,ELK,United States
Elkedra,EKD,Australia
Elkhart,EKI,United States
Elkins,EKN,United States
Elko,EKO,United States
City name,Airport Code,Country name
Ellamar,ELW,United States
Ellensburg,ELN,United States
Elliot Lake,YEL,Canada
Ellisras,ELL,South Africa
Elorza,EOZ,Venezuela
Elverum,XUC,Norway
Ely,LYU,United States
Ely,ELY,United States
Emae,EAE,Vanuatu
Embessa,EMS,Papua New Guinea
Emden,EME,Germany
Emerald,EMD,Australia
Emeryville,JEM,United States
Emirau,EMI,Papua New Guinea
Emmen,EML,Switzerland
Emmonak,EMK,United States
City name,Airport Code,Country name
Emo,EMO,Papua New Guinea
Empangeni,EMG,South Africa
Emporia,EMP,United States
En Nahud,NUD,Sudan
Enarotali,EWI,Indonesia
Encarnacion,ENO,Paraguay
Ende,ENE,Indonesia
Endicott,BGM,United States
Eneabba West,ENB,Australia
Enewetak Island,ENT,Marshall Islands
Engati,EGA,Papua New Guinea
Enid,WDG,United States
Enid,END,United States
Eniseysk,EIE,Russian Federation
Enkoping,XWQ,Sweden
Enniskillen,ENK,United Kingdom
City name,Airport Code,Country name
Enontekio,ENF,Finland
Enschede,ENS,Netherlands
Ensenada,ESE,Mexico
Enshi,ENH,China
Entebbe,EBB,Uganda
Enterprise,ETS,United States
Enugu,ENU,Nigeria
Epena,EPN,Congo
Ephrata,EPH,United States
Epi,EPI,Vanuatu
Epinal,EPL,France
Episkopi,EPK,Cyprus
Erandique,EDQ,Honduras
Erave,ERE,Papua New Guinea
Lefkosa,ECN,Cyprus
Erdenet,ERT,Mongolia
City name,Airport Code,Country name
Erechim,ERM,Brazil
Erfurt,ERF,Germany
Erie,ERI,United States
Erigavo,ERA,Somalia
Erldunda,EDD,Australia
Ernabella,ERB,Australia
Errachidia,ERH,Morocco
Errol,ERR,United States
Erume,ERU,Papua New Guinea
Erzincan,ERC,Turkey
Erzurum,ERZ,Turkey
Esbjerg,EBJ,Denmark
Escanaba,ESC,United States
Eskilstuna,EKT,Sweden
Eskisehir,ESK,Turkey
Eskisehir,AOE,Turkey
City name,Airport Code,Country name
Esmeraldas,ESM,Ecuador
Espanola,ESO,United States
Esperance,EPR,Australia
Espinosa,ESI,Brazil
Espiritu Santo,SON,Vanuatu
Esquel,EQS,Argentina
Esquimalt,YPF,Canada
Essaouira,ESU,Morocco
Essen,ESS,Germany
Estevan,YEN,Canada
Estevan Point,YEP,Canada
Estherville,EST,United States
Etadunna,ETD,Australia
Eua,EUA,Tonga
Eucla,EUC,Australia
Eufaula,EUF,United States
City name,Airport Code,Country name
Eugene,EUG,United States
Eunice,UCE,United States
Eureka,EKA,United States
Eureka,YEU,Canada
Eureka,EUE,United States
Eva Downs,EVD,Australia
Evadale,EVA,United States
Evans Head,EVH,Australia
Evanston,EVW,United States
Evansville,EVV,United States
Eveleth,EVM,United States
Everett,PAE,United States
Evreux,EVX,France
Evry,JEV,France
Ewer,EWE,Indonesia
Ewo,EWO,Congo
City name,Airport Code,Country name
Excursion Inlet,EXI,United States
Exeter,EXT,United Kingdom
Exmouth Gulf,EXM,Australia
Faaite,FAC,French Polynesia
Fada Ngourma,FNG,Burkina Faso
Fagernes,VDB,Norway
Fagurholsmyri,FAG,Iceland
Fair Isle,FIE,United Kingdom
Fairbanks,EIL,United States
Fairbanks,FBK,United States
Fairbanks,FAI,United States
Fairbanks,MTX,United States
Fairbanks,PII,United States
Fairbury,FBY,United States
Fairfield,SUU,United States
Fairfield,FFL,United States
City name,Airport Code,Country name
Fairford,FFD,United Kingdom
Fairmont,FRM,United States
Fairmount Springs,YCZ,Canada
Fairview,ZFW,Canada
Faisalabad,LYP,Pakistan
Faizabad,FBD,Afghanistan
Fajardo,FAJ,Puerto Rico
Fak Fak,FKQ,Indonesia
Fakahina,FHZ,French Polynesia
Fakarava,FAV,French Polynesia
Fakenham,FKH,United Kingdom
Falher,YOE,Canada
Falkenberg,XYM,Sweden
Fallon,FLX,United States
Fallon,NFL,United States
Falls Bay,FLJ,United States
City name,Airport Code,Country name
Falls Creek,FLC,Australia
Falmouth,FMH,United States
False Island,FAK,United States
False Pass,KFP,United States
Fane,FNE,Papua New Guinea
Fangatau,FGU,French Polynesia
Farafangana,RVA,Madagascar
Farah,FAH,Afghanistan
Faranah,FAA,Guinea
Farewell,FWL,United States
Fargo,FAR,United States
Faribault,FBL,United States
Farmingdale,FRG,United States
Farmington,FAM,United States
Farmington,FMN,United States
Farnborough,FAB,United Kingdom
City name,Airport Code,Country name
Faro,FAO,Portugal
Faro,ZYF,Portugal
Faro,ZFA,Canada
Faroe Islands,FAE,Faroe Islands
Farsund,FAN,Norway
Fasa,FAZ,Iran
Faskrudsfjordur,FAS,Iceland
Faya,FYT,Chad
Fayetteville,FYV,United States
Fayetteville,XNA,United States
Fayetteville,FAY,United States
Fayetteville,POB,United States
Fayetteville,FYM,United States
Fderik,FGD,Mauritania
Feijo,FEJ,Brazil
Feira De Santana,FEC,Brazil
City name,Airport Code,Country name
Fera Island,FRE,Solomon Islands
Feramin,FRQ,Papua New Guinea
Fergana,FEG,Uzbekistan
Fergus Falls,FFM,United States
Fergusons Gulf,FER,Kenya
Ferkessedougou,FEK,Cote D'Ivoire (Ivory Coast)
Fernando De Noronha,FEN,Brazil
Fetlar,FEA,United Kingdom
Fez,FEZ,Morocco
Fianarantsoa,WFI,Madagascar
Ficksburg,FCB,South Africa
Fictitious Point/AA2,ZGZ,Germany
Fictitious Point/LH,QFP,Germany
City name,Airport Code,Country name
Figari,FSC,France
Filadelfia,FLM,Paraguay
Fillmore,FIL,United States
Filton,FZO,United Kingdom
Fin Creek,FNK,United States
Fincha,FNH,Ethiopia
Findlay,FDY,United States
Finke,FIK,Australia
Hamburg,XFW,Germany
Finley,FLY,Australia
Finschhafen,FIN,Papua New Guinea
Fire Cove,FIC,United States
Fishers Island,FID,United States
Fitiuta,FTI,American Samoa
Fitzroy Crossing,FIZ,Australia
Fiumicino,ZRR,Canada
City name,Airport Code,Country name
Five Finger,FIV,United States
Five Mile,FMC,United States
Flamingo,FMG,Costa Rica
Flat,FLT,United States
Flateyri,FLI,Iceland
Flaxman Island,FXM,United States
Flen,XYI,Sweden
Flensburg,FLF,Germany
Flin Flon,YFO,Canada
Flinders Island,FLS,Australia
Flint,FNT,United States
Flippin,FLP,United States
Flora Valley,FVL,Australia
Pisa,PSA,Italy
Florence,FLR,Italy
Florence,ZMS,Italy
City name,Airport Code,Country name
Florence,FLO,United States
Florencia,FLA,Colombia
Flores,FRS,Guatemala
Flores Island,FLW,Portugal
Floriano,FLB,Brazil
Florianopolis,FLN,Brazil
Floro,FRO,Norway
Flotta,FLH,United Kingdom
Foggia,FOG,Italy
Foley,NHX,United States
Fond Du Lac,ZFD,Canada
Fond Du Lac,FLD,United States
Fontanges,YFG,Canada
Forbes,FRB,Australia
Forde,FDE,Norway
Forest City,FXY,United States
City name,Airport Code,Country name
Forest Park,FOP,United States
Forestville,YFE,Canada
Forli,FRL,Italy
Formosa,FMA,Argentina
Forres,FSS,United Kingdom
Forrest,FOS,Australia
Forrest City,FCY,United States
Forrest River,FVR,Australia
Forster,FOT,Australia
Fort Albany,YFA,Canada
Fort Belvoir,DAA,United States
Fort Bragg,FOB,United States
Fort Bragg,FBG,United States
Fort Bridger,FBR,United States
Fort Chaffee,CCA,United States
Fort Chipewyan,YPY,Canada
City name,Airport Code,Country name
Fort Collins/Loveland,QWF,United States
Fort Collins/Loveland,FNL,United States
Fort Dauphin,FTU,Madagascar
Fort De France,FDF,Martinique
Fort Devens,AYE,United States
Fort Dix,WRI,United States
Fort Dodge,FOD,United States
Fort Eustis,FAF,United States
Fort Frances,YAG,Canada
Fort Good Hope,YGH,Canada
Fort Hope,YFH,Canada
Fort Indiantown,MUI,United States
Fort Irwin,BYS,United States
Fort Jefferson,RBN,United States
Fort Knox,FTK,United States
Fort Kobbe,HOW,Panama
City name,Airport Code,Country name
Fort Lauderdale,FXE,United States
Fort Lauderdale,FLL,United States
Fort Leavenworth,FLV,United States
Fort Leonard Wood,TBN,United States
Fort Liard,YJF,Canada
Fort Madison,FMS,United States
Fort Mcmurray,YMM,Canada
Fort Mcpherson,ZFM,Canada
Fort Meade,FME,United States
Fort Myers,FMY,United States
Fort Myers,RSW,United States
Fort Nelson,YYE,Canada
Fort Pierce,FPR,United States
Fort Polk,POE,United States
Fort Reliance,YFL,Canada
Fort Resolution,YFR,Canada
City name,Airport Code,Country name
Fort Richardson,FRN,United States
Fort Riley,FRI,United States
Fort Scott,FSK,United States
Fort Severn,YER,Canada
Fort Sheridan,FSN,United States
Fort Sill,FSI,United States
Fort Simpson,YFS,Canada
Fort Smith,FSM,United States
Fort Smith,YSM,Canada
Fort St John,YXJ,Canada
Fort Stockton,FST,United States
Fort Sumner,FSU,United States
Fort Wayne,FWA,United States
Fort Wayne,SMD,United States
Fort William,FWM,United Kingdom
Fort Worth,FWH,United States
City name,Airport Code,Country name
Fort Worth,AFW,United States
Fort Worth,FTW,United States
Fort Yukon,FYU,United States
Fortaleza,FOR,Brazil
Fortuna,FON,Costa Rica
Fortuna Ledge,FTL,United States
Foshan,ZCP,China
Fossil Downs,FSL,Australia
Fougamou,FOU,Gabon
Foula,FOA,United Kingdom
Foumban,FOM,Cameroon
Fox,FOX,United States
Fox Glacier,FGL,New Zealand (Aotearoa)
Fox Harbour (St Lewis),YFX,Canada
Foya,FOY,Liberia
Franca,FRC,Brazil
City name,Airport Code,Country name
Franceville,MVB,Gabon
Francisco Beltrao,FBE,Brazil
Francistown,FRW,Botswana
Frankfort,FFT,United States
Hahn,HHN,Germany
Frankfurt,FRA,Germany
Frankfurt,QGV,Germany
Frankfurt,FRF,Germany
Frankfurt/Oder,ZFR,Germany
Franklin,FKL,United States
Franklin,FKN,United States
Franz Josef,WHO,New Zealand (Aotearoa)
Frederick,FDK,United States
Frederick,FDR,United States
Fredericton,YFC,Canada
Fredrikstad,XKF,Norway
City name,Airport Code,Country name
Freeport,FEP,United States
Freetown,HGS,Sierra Leone
Freetown,FNA,Sierra Leone
Freetown,JMY,Sierra Leone
Fregate Is,FRK,Seychelles
Freida River,FAQ,Papua New Guinea
Frejus,FRJ,France
Fremantle,JFM,Australia
Fremont,FET,United States
French Lick,FRH,United States
Frenchville,WFK,United States
Fresh Water Bay,FRP,United States
Fresno,FAT,United States
Fresno,FCH,United States
Fria,FIG,Guinea
Friday Harbor,FRD,United States
City name,Airport Code,Country name
Friday Harbor SPB,FBS,United States
Friedrichshafen,FDH,Germany
Fritzlar,FRZ,Germany
"Fort Myers, Florida",FRR,United States
Frutillar,FRT,Chile
Fryeburg,FRY,United States
Fuengirola,FGR,Spain
Fuerstenfeldbruck,FEL,Germany
Fuerte Olimpo,OLK,Paraguay
Fukue,FUJ,Japan
Fukui,FKJ,Japan
Fukuoka,FUK,Japan
Fukushima,FKS,Japan
Fulleborn,FUB,Papua New Guinea
Fullerton,FUL,United States
Fuma,FUM,Papua New Guinea
City name,Airport Code,Country name
Funafuti Atol,FUN,Tuvalu
Funter Bay,FNR,United States
Fuoshan,FUO,China
Futaleufu,FFU,Chile
Futuna Island,FTA,Vanuatu
Futuna Island,FUT,Wallis and Futuna Islands
Fuyang,FUG,China
Fuyun,FYN,China
Fuzhou,FOC,China
Gabbs,GAB,United States
Gabes,GAE,Tunisia
Gaborone,GBE,Botswana
Gachsaran,GCH,Iran
Gadsden,GAD,United States
Gafsa,GAF,Tunisia
Gag Island,GAV,Indonesia
City name,Airport Code,Country name
Gage,GAG,United States
Gagetown,YCX,Canada
Gagnoa,GGN,Cote D'Ivoire (Ivory Coast)
Gagnon,YGA,Canada
Gainesville,GNV,United States
Gainesville,GVL,United States
Gainesville,GLE,United States
Gaithersburg,GAI,United States
Gakona,GAK,United States
Gal Oya,GOY,Sri Lanka
Galapagos Is,GPS,Ecuador
Galbraith Lake,GBH,United States
Galcaio,GLK,Somalia
Galela,GLX,Indonesia
Galena,GAL,United States
Galesburg,GBG,United States
City name,Airport Code,Country name
Galion,GQQ,United States
Gallivare,GEV,Sweden
Gallup,GUP,United States
Galveston,GLS,United States
Galway,GWY,Ireland
Gamarra,GRA,Colombia
Gamba,GAX,Gabon
Gambela,GMB,Ethiopia
Gambell,GAM,United States
Gambier Is,GMR,French Polynesia
Gamboma,GMM,Congo
Gamboola,GBP,Australia
Gan Island,GAN,Maldives
Gandajika,GDJ,Zaire
Gander,YQX,Canada
Ganes Creek,GEK,United States
City name,Airport Code,Country name
Gangaw,GAW,Myanmar
Ganges Harbor,YGG,Canada
Gangneung,KAG,Korea (South)
Ganzhou,KOW,China
Gao,GAQ,Mali
Gaoua,XGA,Burkina Faso
Gap,GAT,France
Gara Djebilet,GBB,Algeria
Garachine,GHE,Panama
Garaina,GAR,Papua New Guinea
Garasa,GRL,Papua New Guinea
Garbaharey,GBM,Somalia
Garden City,GCK,United States
Garden City,JHC,United States
Garden Point,GPN,Australia
Gardez,GRG,Afghanistan
City name,Airport Code,Country name
Gardner,GDM,United States
Gardo,GSR,Somalia
Garissa,GAS,Kenya
Garoe,GGR,Somalia
Garoua,GOU,Cameroon
Garuahi,GRH,Papua New Guinea
Gascoyne Junction,GSC,Australia
Gasmata Island,GMI,Papua New Guinea
Buraidah,ELQ,Saudi Arabia
Gasuke,GBC,Papua New Guinea
Gatlinburg,GKT,United States
Gatokae,GTA,Solomon Islands
Gaua,ZGU,Vanuatu
Gavle,GVX,Sweden
Gawahati,GAU,India
Gaya,GAY,India
City name,Airport Code,Country name
Gaylord,GLR,United States
Gayndah,GAH,Australia
Gaziantep,GZT,Turkey
Gbadolite,BDT,Zaire
Gbangbatok,GBK,Sierra Leone
Gdansk,GDN,Poland
Gebe,GEB,Indonesia
Gecitkale,GEC,Cyprus
Gedaref,GSU,Sudan
Geelong,GEX,Australia
Geilenkirchen,GKE,Germany
Geilo,DLD,Norway
Geita,GIT,Tanzania
Geladi,GLC,Ethiopia
Gelendzik,GDZ,Russian Federation
Gemena,GMA,Zaire
City name,Airport Code,Country name
Genda Wuha,ETE,Ethiopia
Geneina,EGN,Sudan
General Pico,GPO,Argentina
General Roca,GNR,Argentina
General Santos,GES,Philippines
General Villegas,VGS,Argentina
Geneva,GVA,Switzerland
Genoa,GOA,Italy
Genting,GTB,Malaysia
Geoje,JGE,Korea (South)
George,GRJ,South Africa
George Town,GGT,Bahamas
George Town,GEE,Australia
Georgetown,GED,United States
Georgetown,GTT,Australia
Georgetown,GGE,United States
City name,Airport Code,Country name
"Georgetown, Ascension Island",ASI,St. Helena
Gera,ZGA,Germany
Geraldton,YGQ,Canada
Geraldton,GET,Australia
Germansen,YGS,Canada
Gerona,GRO,Spain
Gethsemani,ZGS,Canada
Gettysburg,GTY,United States
Geva,GEF,Solomon Islands
Gewoia,GEW,Papua New Guinea
Ghadames,LTD,Libya
Ghanzi,GNZ,Botswana
Ghardaia,GHA,Algeria
Ghat,GHT,Libya
Ghazni,GZI,Afghanistan
Ghazvin,GZW,Iran
City name,Airport Code,Country name
Ghent,GNE,Belgium
Gheshm,GSM,Iran
Ghimbi,GHD,Ethiopia
Ghinnir,GNN,Ethiopia
Gibb River,GBV,Australia
Gibraltar,GIB,Gibraltar
Giebelstadt,GHF,Germany
Gilgal,GGL,Colombia
Gilgit,GIL,Pakistan
Gillam,YGX,Canada
Gillette,GCC,United States
Gillies Bay,YGB,Canada
Gimli,YGM,Canada
Girardot,GIR,Colombia
Gisborne,GIS,New Zealand (Aotearoa)
Gisenyi,GYI,Rwanda
City name,Airport Code,Country name
Gitega,GID,Burundi
Giyani,GIY,South Africa
Gizo,GZO,Solomon Islands
Gjoa Haven,YHK,Canada
Gjogur,GJR,Iceland
Gjovik,ZYG,Norway
Glacier Creek,KGZ,United States
Gladstone,GLT,Australia
Gladwin,GDW,United States
Glasgow,GLA,United Kingdom
Glasgow,PIK,United Kingdom
Glasgow,ZGG,United Kingdom
Glasgow,GLW,United States
Glasgow,GGW,United States
Glen Innes,GLI,Australia
Glendale,JGX,United States
City name,Airport Code,Country name
Glendale,GWV,United States
Glendive,GDV,United States
Glengyle,GLG,Australia
Glennallen,GLQ,United States
Glenormiston,GLM,Australia
Glens Falls,GFL,United States
Glenview,NBU,United States
Glenwood Springs,GWS,United States
Gloucester,GLO,United Kingdom
Glynco,NEA,United States
Gnarowein,GWN,Papua New Guinea
Goa,GOI,India
Goba,GOB,Ethiopia
Gobabis,GOG,Namibia
